fixture_id,match,kickoff_utc,gameweek,home_team,away_team,derby,derby_name,home_position_pre,away_position_pre,home_points_pre,away_points_pre,home_gd_pre,away_gd_pre,home_goals_pre,away_goals_pre,home_goals_final,away_goals_final,row_type,row_type_priority,minute_sort,minute,extra_minute,minute_label,participant_id,participant_name,participant_location,player_id,player_name,related_player_id,related_player_name,event_category,event_type_name,event_type_code,info,addition,period_label,time_added_minutes,first_half_added_minutes,second_half_added_minutes,whistle_type,whistle_utc,pressure_value,row_sequence_in_match,row_sequence_global
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,86.0,86.0,,86,52.0,AFC Bournemouth,home,513.0,Junior Stanislas,,,card,Yellowcard,yellowcard,Time wasting,,,,0.0,,,,,19,78
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,87.0,87.0,,87,52.0,AFC Bournemouth,home,4203.0,Dominic Solanke,,,goal,Goal,goal,,5th Goal,,,0.0,,,,,20,79
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,event,4,90.0,90.0,,90,52.0,AFC Bournemouth,home,332147.0,Sam Surridge,1065.0,Callum Wilson,substitution,Substitution,substitution,,,,,0.0,,,,,21,80
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,2,AFC Bournemouth,Leicester City,0,,,,,,,,,,4,1,whistle,5,90.0,90.0,,,,,,,,,,,,,,,,,0.0,,full_time,2020-07-12 19:45:00+00:00,,22,81
11867567,Aston Villa vs Crystal Palace,2020-07-12 13:15:00+00:00,2,Aston Villa,Crystal Palace,0,,,,,,,,,,2,0,pre_match,0,-1.0,,,,,,,,,,,,,,,,,,0.0,,,,,1,82
11867567,Aston Villa vs Crystal Palace,2020-07-12 13:15:00+00:00,2,Aston Villa,Crystal Palace,0,,,,,,,,,,2,0,period,2,0.0,0.0,,,,,,,,,,period,period,,,,1st_half,0.0,0.0,,,,,2,83
11867567,Aston Villa vs Crystal Palace,2020-07-12 13:15:00+00:00,2,Aston Villa,Crystal Palace,0,,,,,,,,,,2,0,event,4,27.0,27.0,,27,51.0,Crystal Palace,away,1108.0,Wilfried Zaha,,,card,Yellowcard,yellowcard,Argument,,,,0.0,,,,,3,84
11867567,Aston Villa vs Crystal Palace,2020-07-12 13:15:00+00:00,2,Aston Villa,Crystal Palace,0,,,,,,,,,,2,0,event,4,27.0,27.0,,27,15.0,Aston Villa,home,1094.0,T. Mings,,,card,Yellowcard,yellowcard,Argument,,,,0.0,,,,,4,85
11867567,Aston Villa vs Crystal Palace,2020-07-12 13:15:00+00:00,2,Aston Villa,Crystal Palace,0,,,,,,,,,,2,0,event,4,27.0,27.0,,27,51.0,Crystal Palace,away,1386.0,Mamadou Sakho,,,card,Yellowcard,yellowcard,Argument,,,,0.0,,,,,5,86
11867567,Aston Villa vs Crystal Palace,2020-07-12 13:15:00+00:00,2,Aston Villa,Crystal Palace,0,,,,,,,,,,2,0,event,4,37.0,37.0,,37,15.0,Aston Villa,home,1387.0,Matt Targett,817.0,Neil Taylor,substitution,Substitution,substitution,,,,,0.0,,,,,6,87
